Date,Nest,Ind#,weight.grams,CT-W,PT-L,instar,Measurement,Treatment,notes
4 July 2018,Col_14,12,NA,0.94,1.48,Sub 1,before,Control,
4 July 2018,Col_14,13,NA,0.85,1.31,Sub 1,before,Control,
4 July 2018,Col_14,14,NA,0.99,1.62,Sub 1,before,Control,
4 July 2018,Col_14,15,NA,0.97,1.63,Sub 1,before,Control,
4 July 2018,Col_15,1,0.00756,1.42,3.2,Adult,before,Control,
4 July 2018,Col_15,2,0.00833,1.51,3.31,Adult,before,Control,
4 July 2018,Col_15,3,0.01526,1.64,3.21,Adult,before,Control,
4 July 2018,Col_15,4,0.00563,1.44,3.08,Adult,before,Control,
4 July 2018,Col_15,5,0.01285,1.57,3.28,Adult,before,Control,
4 July 2018,Col_15,6,0.00387,1.1,2.11,Sub 2,before,Control,
4 July 2018,Col_15,7,0.0054,1.23,2.27,Sub 2,before,Control,
4 July 2018,Col_15,8,0.00454,1.18,2.26,Sub 2,before,Control,
4 July 2018,Col_15,9,0.00455,1.23,2.47,Sub 2,before,Control,
4 July 2018,Col_15,10,0.00437,1.22,2.5,Sub 2,before,Control,
4 July 2018,Col_15,11,NA,0.92,1.43,Sub 1,before,Control,
4 July 2018,Col_15,12,NA,0.98,1.76,Sub 1,before,Control,
4 July 2018,Col_15,13,NA,0.95,1.7,Sub 1,before,Control,
4 July 2018,Col_15,14,NA,0.93,1.47,Sub 1,before,Control,
4 July 2018,Col_15,15,NA,0.99,1.61,Sub 1,before,Control,
4 July 2018,Col_16,1,0.00649,1.49,3.46,Adult,before,Control,
4 July 2018,Col_16,2,0.0105,1.51,3.41,Adult,before,Control,
4 July 2018,Col_16,3,0.00862,1.36,3.3,Adult,before,Control,
4 July 2018,Col_16,4,0.0067,1.41,3.43,Adult,before,Control,
4 July 2018,Col_16,5,0.01035,1.68,3.75,Adult,before,Control,
4 July 2018,Col_16,6,0.00336,1.16,2.29,Sub 2,before,Control,
4 July 2018,Col_16,7,0.00458,1.22,1.84,Sub 2,before,Control,
4 July 2018,Col_16,8,0.00319,1.04,1.84,Sub 2,before,Control,
4 July 2018,Col_16,9,0.00314,1.1,2.04,Sub 2,before,Control,
4 July 2018,Col_16,10,0.00511,1.36,2.55,Sub 2,before,Control,
4 July 2018,Col_16,11,NA,0.89,1.51,Sub 1,before,Control,
4 July 2018,Col_16,12,NA,1,1.63,Sub 1,before,Control,
4 July 2018,Col_16,13,NA,0.95,1.3,Sub 1,before,Control,
4 July 2018,Col_16,14,NA,1,1.6,Sub 1,before,Control,
4 July 2018,Col_16,15,NA,0.98,1.73,Sub 1,before,Control,
4 July 2018,Col_17,1,0.00907,1.29,2.73,Adult,before,Control,
4 July 2018,Col_17,2,0.00818,1.41,2.96,Adult,before,Control,
4 July 2018,Col_17,3,0.00873,1.36,3.28,Adult,before,Control,
4 July 2018,Col_17,4,0.00962,1.54,3.43,Adult,before,Control,
4 July 2018,Col_17,5,0.00926,1.38,2.77,Adult,before,Control,
4 July 2018,Col_17,6,0.00499,1.18,2.1,Sub 2,before,Control,
4 July 2018,Col_17,7,0.00313,1.08,2.04,Sub 2,before,Control,
4 July 2018,Col_17,8,0.00375,1.17,2.18,Sub 2,before,Control,
4 July 2018,Col_17,9,0.00525,1.25,2.53,Sub 2,before,Control,
4 July 2018,Col_17,10,0.00418,1.25,2.4,Sub 2,before,Control,
4 July 2018,Col_17,11,NA,0.98,1.58,Sub 1,before,Control,
4 July 2018,Col_17,12,NA,1.04,2.06,Sub 1,before,Control,
4 July 2018,Col_17,13,NA,1.06,1.92,Sub 1,before,Control,
4 July 2018,Col_17,14,NA,1.06,1.82,Sub 1,before,Control,
4 July 2018,Col_17,15,NA,0.94,1.83,Sub 1,before,Control,
4 July 2018,Col_18,1,0.00778,1.3,2.79,Adult,before,Control,
4 July 2018,Col_18,2,0.01093,1.5,3.37,Adult,before,Control,
4 July 2018,Col_18,3,0.01227,1.33,3.12,Adult,before,Control,
4 July 2018,Col_18,4,0.01318,1.48,3.28,Adult,before,Control,
4 July 2018,Col_18,5,0.01056,1.46,3.57,Adult,before,Control,
4 July 2018,Col_18,6,0.00423,1.05,2.04,Sub 2,before,Control,
4 July 2018,Col_18,7,0.00379,1.06,1.94,Sub 2,before,Control,
4 July 2018,Col_18,8,0.00461,1.13,2.11,Sub 2,before,Control,
4 July 2018,Col_18,9,0.00269,1.03,1.8,Sub 2,before,Control,Sub 1?
4 July 2018,Col_18,10,0.00348,1.04,2.01,Sub 2,before,Control,
4 July 2018,Col_18,11,NA,1.03,1.92,Sub 1,before,Control,
4 July 2018,Col_18,12,NA,0.98,1.65,Sub 1,before,Control,
4 July 2018,Col_18,13,NA,0.95,1.82,Sub 1,before,Control,
4 July 2018,Col_18,14,NA,0.9,1.24,Sub 1,before,Control,
4 July 2018,Col_18,15,NA,0.97,2.09,Sub 1,before,Control,
4 July 2018,Col_19,1,0.01338,1.73,3.77,Adult,before,Control,
4 July 2018,Col_19,2,0.00713,1.31,3.13,Adult,before,Control,
4 July 2018,Col_19,3,0.00737,1.41,3.02,Adult,before,Control,
4 July 2018,Col_19,4,0.009,1.43,2.9,Adult,before,Control,
4 July 2018,Col_19,5,0.00765,1.36,3.08,Adult,before,Control,
4 July 2018,Col_19,6,0.00353,1.08,2.11,Sub 2,before,Control,
4 July 2018,Col_19,7,0.00401,1.16,1.88,Sub 2,before,Control,
4 July 2018,Col_19,8,0.00369,1.09,1.9,Sub 2,before,Control,
4 July 2018,Col_19,9,0.00398,1.09,2.12,Sub 2,before,Control,
4 July 2018,Col_19,10,0.00314,1.19,1.94,Sub 2,before,Control,
4 July 2018,Col_19,11,NA,1.05,1.87,Sub 1,before,Control,
4 July 2018,Col_19,12,NA,0.91,1.59,Sub 1,before,Control,
4 July 2018,Col_19,13,NA,1.08,1.73,Sub 1,before,Control,
4 July 2018,Col_19,14,NA,0.96,1.87,Sub 1,before,Control,
4 July 2018,Col_19,15,NA,0.99,1.51,Sub 1,before,Control,
4 July 2018,Col_20,1,0.00792,1.44,3.71,Adult,before,Control,
4 July 2018,Col_20,2,0.01013,1.54,3.42,Adult,before,Control,
4 July 2018,Col_20,3,0.0088,1.39,3.2,Adult,before,Control,
4 July 2018,Col_20,4,0.01285,1.52,3.75,Adult,before,Control,
4 July 2018,Col_20,5,0.01188,1.53,3.23,Adult,before,Control,
4 July 2018,Col_20,6,0.00439,1.05,2.1,Sub 2,before,Control,
4 July 2018,Col_20,7,0.00414,1.01,2.11,Sub 2,before,Control,
4 July 2018,Col_20,8,0.00343,1.09,1.88,Sub 2,before,Control,
4 July 2018,Col_20,9,0.00447,1.21,2.39,Sub 2,before,Control,
4 July 2018,Col_20,10,0.00438,1.16,2.07,Sub 2,before,Control,
4 July 2018,Col_20,11,NA,1.09,1.78,Sub 1,before,Control,
4 July 2018,Col_20,12,NA,0.98,1.82,Sub 1,before,Control,
4 July 2018,Col_20,13,NA,1.01,2,Sub 1,before,Control,
4 July 2018,Col_20,14,NA,0.98,1.95,Sub 1,before,Control,
4 July 2018,Col_20,15,NA,0.92,1.72,Sub 1,before,Control,
4 July 2018,Col_21,1,0.00833,1.44,2.74,Adult,before,Control,
4 July 2018,Col_21,2,0.00896,1.4,3.28,Adult,before,Control,
